content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
少しだけ舐めた盃ゆらめいて三々九度が静かに終わる,,,,"Oct 3, 2025 7:02 am",https://x.com/nonaga0303,のなが,CC BY-NC-ND 4.0
触れられることの嬉しさ地層ならきっと貝塚が出来るあたりに,,,,"Oct 7, 2025 2:01 am",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
見切られたあとも世界は続くこと　訳ありやさい　ひび割れおかき,,,,"Oct 2, 2025 2:10 pm",https://x.com/tsu6gi_hoshi,星つむぎ,CC BY-NC-ND 4.0
コスモスの小道まっすぐ伸びており花占いはせず前を向く,,,,"Oct 5, 2025 9:17 pm",https://x.com/kijousan,宇井モナミ,CC BY-NC-ND 4.0
むせかえる葛の香りに包まれて帰った夜道もう戻らずに,,,,"Oct 6, 2025 12:35 pm",https://x.com/prune0s,瀧,CC BY-NC-ND 4.0
砂城《すなじろ》のような承認欲求を優しく崩すいいねはさざなみ,,,,"Oct 1, 2025 11:45 pm",https://x.com/rara_wcat_tanka,アサコル,CC BY-NC-ND 4.0
首筋の渇いた跡を舐めおればあなたが海だと気付いてしまう,,,,"Sep 30, 2025 6:45 pm",https://x.com/kikura_ge,キクラゲ,CC BY-NC-ND 4.0
かまきりがくわえるようにぎこちなく頸動脈を食むやはらかに,,,,"Oct 5, 2025 12:41 am",https://x.com/matsuqing,沙々キハム,CC BY-NC-ND 4.0
旅先のシャンプーに軋む髪に指引っかけながらしてく荷解き,,,,"Oct 6, 2025 8:38 am",https://x.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
指先に祈りを込める　アトピーの君の背中に塗るステロイド,,,,"Oct 1, 2025 10:29 pm",https://x.com/tanankatoru,田仲トオル,CC BY-NC-ND 4.0
タバスコはからいというよりすっぱくて恋というより執着だった,,,,"Sep 30, 2025 1:02 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
小舟ならあたしもきっと出せるしさ一人で泳がなくていいから,,,,"Oct 5, 2025 3:06 pm",https://x.com/nuts722,natsuko,CC BY-NC-ND 4.0
"《身体記憶》
指先があなたのことを覚えてる指紋の中に生きているから",,,,"Sep 28, 2025 6:59 pm",https://x.com/@sohbungaku,ソホ。,CC BY-NC-ND 4.0
このままで生きているのに死んでいてどこまでゆける　令和七年,,,,"Oct 1, 2025 6:21 am",https://x.com/haku_reimi89013 ,白黎海,CC BY-NC-ND 4.0
どの色を重ねた声で名を呼べばあなたのもとに届くでしょうか,,,,"Sep 29, 2025 8:04 pm",https://x.com/18necco18,宮緖かよ,CC BY-NC-ND 4.0
永遠になってほしくてわたくしの歌に何度も現れる祖母,,,,"Oct 2, 2025 12:01 pm",https://x.com/yarukatanashi,ヤマメ,CC BY-NC-ND 4.0
サイゼじゃね？　これはサイゼの機運じゃね？　バスを逃したのでサイゼへ行く,,,,"Sep 26, 2025 5:53 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
泣いても泣いても泣いても泣いても海にはなれない海にはなれない,,,,"Oct 1, 2025 11:43 pm",https://x.com/rara_wcat_tanka,アサコル,CC BY-NC-ND 4.0
"《夜景》
この夜景その一点は君だろういつも輝く君だったから",,,,"Sep 28, 2025 6:58 pm",https://x.com/@sohbungaku,ソホ。,CC BY-NC-ND 4.0
